questionId,sectionId,lessonId,questionBody,questionType,authorId,questionResponse,questionlikecount,responselikecount,responseCount,isEndorsed,include,questionDate
00a712ff-e146-437a-877c-4802ea0e5822,3603bfd4-7c3a-427f-b0ba-8a344025f329,G_98cb3946-2c76-45d8-b588-9672c900f350_3603bfd4-7c3a-427f-b0ba-8a344025f329_2017-09-18T10:09:00.000_2017-09-18T11:01:00.000,"Do we need to remember the numbers of how much energy is absorbed/emited by each? Or should we just have a general idea that a lot of energy absorbed by atmo, temperature equilibriam as a whole?",content,cad2791d-6298-45bc-b6dd-82aac0137420,General idea! And what potential effects that could alter it like greenhouse gases etc.,0,0,1,0,0,9/18/2017 14:24
00f8ce11-8d85-40bb-b08a-e79a688d8857,3603bfd4-7c3a-427f-b0ba-8a344025f329,G_98cb3946-2c76-45d8-b588-9672c900f350_3603bfd4-7c3a-427f-b0ba-8a344025f329_2017-10-18T10:09:00.000_2017-10-18T11:01:00.000,are the exams going to be at office hours today?,logistic,f2e2ceb1-0ac9-4148-8cd4-cf58d94e2dad,"As stated in the canvas announcement, yes they will be|The office hours are 12-2?",1,0,2,0,0,10/18/2017 14:03
0135b77d-45d1-4e42-8a26-de5f5768560c,3603bfd4-7c3a-427f-b0ba-8a344025f329,G_98cb3946-2c76-45d8-b588-9672c900f350_3603bfd4-7c3a-427f-b0ba-8a344025f329_2017-09-08T10:09:00.000_2017-09-08T11:01:00.000,When will the participation grades for each lecture be posted?,logistic,8df1c0a3-c67b-43f7-a789-75c77448918b,"I'm not sure I'll ask Perry. I don't know if you can see it. As long as you answer all the questions like the one being posed now, you're good.",0,1,1,0,0,9/8/2017 14:46
015973d9-3b57-48f5-a0ef-24266a125956,3603bfd4-7c3a-427f-b0ba-8a344025f329,G_98cb3946-2c76-45d8-b588-9672c900f350_3603bfd4-7c3a-427f-b0ba-8a344025f329_2017-09-15T10:09:00.000_2017-09-15T11:01:00.000,"Is there any way to get rid of ""hide live"" notification? It's covering a lot of my screen",logistic,d5233013-29fb-4f29-b0e8-81d467757270,"Not sure, you can toggle the screens though and as long as you have your own lecture slide open you only really need to hear Perry",0,0,1,0,0,9/15/2017 14:45
01f4105b-ac0f-4e37-b897-33b015dec191,3603bfd4-7c3a-427f-b0ba-8a344025f329,G_98cb3946-2c76-45d8-b588-9672c900f350_3603bfd4-7c3a-427f-b0ba-8a344025f329_2017-09-18T10:09:00.000_2017-09-18T11:01:00.000,slide 38 is still hidden,logistic,4feea5a4-eb6b-42b0-9d80-352b8e887c63,I don't think we ever got to that slide. it's open now though,6,0,1,0,0,9/18/2017 14:54
02973a55-805b-45ae-84ef-831e9177deb2,3603bfd4-7c3a-427f-b0ba-8a344025f329,G_98cb3946-2c76-45d8-b588-9672c900f350_3603bfd4-7c3a-427f-b0ba-8a344025f329_2017-09-15T10:09:00.000_2017-09-15T11:01:00.000,can you reopen the poll for the die question? My live stream was off sync and the poll didnt open.,logistic,3d905f4c-b62a-4e78-8d7f-c1dca205fd1e,sure for a few minutes!|thanks,0,0,2,0,0,9/15/2017 14:30
0395ae4f-ef0c-4f24-84c6-47541db65647,3603bfd4-7c3a-427f-b0ba-8a344025f329,G_98cb3946-2c76-45d8-b588-9672c900f350_3603bfd4-7c3a-427f-b0ba-8a344025f329_2017-09-06T10:09:00.000_2017-09-06T11:01:00.000,Where is the beginning survey we are supposed to complete?,logistic,ea4e2d60-b5e8-4efc-8054-69e90a5359b7,under assignments on canvas. 9th one down,0,0,1,0,0,9/7/2017 18:48
04321ce4-c060-4838-a4fe-877d803035f5,3603bfd4-7c3a-427f-b0ba-8a344025f329,G_98cb3946-2c76-45d8-b588-9672c900f350_3603bfd4-7c3a-427f-b0ba-8a344025f329_2017-10-18T10:09:00.000_2017-10-18T11:01:00.000,Why was it SW and not NW?,content,dfe306ca-843f-4e66-b967-58fea11837f9,"friction slows the wind down. So once you set it up like usual (H to L, coriolis force turns to left in S) you can then add friction as slowing the wind down, which counteracts CO force slightly and angles back towards favoring L pressure|Wind moves FROM the SW",0,1,2,0,0,10/18/2017 14:42
04665360-6b90-4db1-a17f-c9601b969fa9,3603bfd4-7c3a-427f-b0ba-8a344025f329,G_98cb3946-2c76-45d8-b588-9672c900f350_3603bfd4-7c3a-427f-b0ba-8a344025f329_2017-10-04T10:09:00.000_2017-10-04T11:01:00.000,What chapters are going to be on the exam?,logistic,aefbf299-2037-4819-a0ab-4a8c3b07b575,"As stated in the announcement, anything that's been covered in lecture is fair game. So focus on the lectures and use the book as a supplement if you need more information",0,1,1,0,0,10/4/2017 14:15
04dadf65-ce49-4bf4-860f-db3a365ec571,3603bfd4-7c3a-427f-b0ba-8a344025f329,G_98cb3946-2c76-45d8-b588-9672c900f350_3603bfd4-7c3a-427f-b0ba-8a344025f329_2017-10-04T10:09:00.000_2017-10-04T11:01:00.000,"On my computer, the slides past 35 are all hidden so I can't see or answer the questions",logistic,b66b358a-a13d-45a3-b753-5758408af8c5,You need to refresh the page usually. I have to unhide them as perry does so reloading page works,0,0,1,0,0,10/4/2017 14:52
